year,mine_production,refined_production,refined_usage
1960.0,3924,4998,4738
1961.0,4081,5127,5050
1962.0,4216,5296,5048
1963.0,4286,5400,5500
1964.0,4443,5739,5995
1965.0,4769,6059,6193
1966.0,4987,6324,6445
1967.0,4743,6004,6195
1968.0,5010,6653,6523
1969.0,5682,7212,7137
1970.0,5900,7592,7291
1971.0,5941,7404,7296
1972.0,6541,8100,7942
1973.0,6915,8544,8740
1974.0,7097,8759,8310
1975.0,6735,8187,7445
1976.0,7289,8632,8539
1977.0,7444,8884,9057
1978.0,7306,9030,9527
1979.0,7372,9200,9848
1980.0,7227,9261,9396
1981.0,7721,9573,9522
1982.0,7745,9319,9090
1983.0,7824,9541,9510
1984.0,8135,9440,9930
1985.0,8314,9616,9798
1986.0,8295,9920,10112
1987.0,8620,10148,10293
1988.0,8773,10512,10668
1989.0,9086,10908,11081
1990.0,9227,10805,10886
1991.0,9373,10686,10563
1992.0,9497,11042,10866
1993.0,9571,11274,10992
1994.0,9539,11118,11560
1995.0,10070,11817,12043
1996.0,11084,12628,12489
1997.0,11514,13425,13082
1998.0,12228,14032,13440
1999.0,12767,14576,14223
2000,13199,14793,15122
2001,13636,15638,14938
2002,13487,15354,15133
2003,13699,15272,15641
2004,14594,15918,16743
2005,14927,16572,16552
2006,14983,17288,16917
2007,15508,17895,18026
2008,15532,18191,17877
2009,15941,18234,17889
2010,15987,18981,19130
2011,15960,19601,19704
2012,16687,20194,20468
2013,18185,21058,21401
2014,18422,22490,22908
2015,19153,22838,23057
2016,20395,23356,23487
2017,20067,23557,23705
2018,20579,24075,24484
2019,20571,24028,24429
2020/p,20575,24454,24987
