,Year,total_sale
0,1960-01-01,7894
1,1965-01-01,11114
2,1970-01-01,8263
3,1975-01-01,8965
4,1980-01-01,8011
5,1985-01-01,11638
6,1990-01-01,9767
7,1991-01-01,8790
8,1992-01-01,9691
9,1993-01-01,10855
10,1994-01-01,12239
11,1995-01-01,11995
12,1996-01-01,11830
13,1997-01-01,12131
14,1998-01-01,12003
15,1999-01-01,13025
16,2000-01-01,12774
17,2001-01-01,11425
18,2002-01-01,12280
19,2003-01-01,12087
20,2004-01-01,11960
21,2005-01-01,11947
22,2006-01-01,11260
23,2007-01-01,10752
24,2008-01-01,8672
25,2009-01-01,5710
26,2010-01-01,7744
27,2011-01-01,8662
28,2012-01-01,10336
29,2013-01-01,11067
30,2014-01-01,11661
31,2015-01-01,12106
32,2016-01-01,12179
33,2017-01-01,11179
34,2018-01-01,11297
35,2019-01-01,10893
36,2020-01-01,8821
