year,sales,midband,ub,lb
1960-01-01,7894.0,7894.0,,
1965-01-01,11114.0,10309.0,17139.65150626205,3478.3484937379517
1970-01-01,8263.0,8892.53846153846,14282.615626677549,3502.4612963993695
1975-01-01,8965.0,8941.449999999999,11934.880954093158,5948.01904590684
1980-01-01,8011.0,8318.586776859505,10846.325470005306,5790.848083713705
1985-01-01,11638.0,10534.568681318682,17335.066968663526,3734.070393973838
1990-01-01,9767.0,10022.622140896616,14233.437569765843,5811.806712027388
1991-01-01,8790.0,9200.748780487806,12662.434867818565,5739.062693157046
1992-01-01,9691.0,9527.59953256783,11753.501504621225,7301.697560514436
1993-01-01,10855.0,10412.548164205393,13362.033894027805,7463.06243438298
1994-01-01,12239.0,11630.189595023316,15660.51270418871,7599.866485857922
1995-01-01,11995.0,11873.39698931206,14312.000657888992,9434.793320735127
1996-01-01,11830.0,11844.465644957543,13255.06422603876,10433.867063876327
1997-01-01,12131.0,12035.488588257333,13031.314762224756,11039.662414289909
1998-01-01,12003.0,12013.829527909653,12592.429981699559,11435.229074119747
1999-01-01,13025.0,12687.94319162993,14737.688493451751,10638.19788980811
2000-01-01,12774.0,12745.31439765423,13941.185753476202,11549.443041832259
2001-01-01,11425.0,11865.1047969461,14594.504586604315,9135.705007287885
2002-01-01,12280.0,12141.701599220012,13922.645125304962,10360.758073135063
2003-01-01,12087.0,12105.233866396213,13139.265944741786,11071.20178805064
2004-01-01,11960.0,12008.411288789483,12672.323142838217,11344.499434740748
2005-01-01,11947.0,11967.470429595189,12369.977202438005,11564.963656752372
2006-01-01,11260.0,11495.82347652672,12929.720800519042,10061.926152534399
2007-01-01,10752.0,10999.941158840484,12702.423846615384,9297.458471065584
2008-01-01,8672.0,9447.98038627833,14206.487427025191,4689.473345531469
2009-01-01,5710.0,6955.993462091797,14920.77757038726,-1008.7906462036663
2010-01-01,7744.0,7481.331154030668,12342.374853249315,2620.28745481202
2011-01-01,8662.0,8268.443718010256,11936.208383844134,4600.679052176378
2012-01-01,10336.0,9646.814572670106,14292.599952785513,5001.0291925547
2013-01-01,11067.0,10593.604857556706,14500.284674404418,6686.925040708992
2014-01-01,9849.0,10097.201619185567,12800.00164373601,7394.401594635124
2015-01-01,9626.0,9783.06720639519,11606.022642291075,7960.111770499305
2016-01-01,9822.0,9809.02240213173,10864.382636092445,8753.662168171015
2017-01-01,9747.0,9767.67413404391,10389.485081685258,9145.863186402561
2018-01-01,10737.0,10413.891378014638,12385.5032792725,8442.279476756776
2019-01-01,10489.0,10463.963792671546,11612.143388138522,9315.78419720457
2020-01-01,9448.0,9786.65459755718,11923.982019025507,7649.327176088855
2021-01-01,11453.0,10897.551532519059,14451.359467184273,7343.743597853845
2022-01-01,10300.0,10499.18384417302,12873.656757240953,8124.710931105086
2023-01-01,10067.0,10211.061281391007,11831.710957381405,8590.411605400608
2024-01-01,10272.0,10251.687093797002,11195.273815018436,9308.100372575567
2025-01-01,10193.0,10212.562364599,10769.843263310315,9655.281465887685
2026-01-01,11229.0,10890.187454866333,12948.366876910923,8832.008032821743
2027-01-01,10969.0,10942.72915162211,12141.428382813037,9744.029920431183
2028-01-01,9881.0,10234.909717207369,12468.300662512152,8001.518771902585
2029-01-01,11977.0,11396.303239069122,15111.433463586854,7681.17301455139
2030-01-01,10772.0,10980.101079689708,13461.985242771696,8498.21691660772
