year,prod_mine,refine_from_ore,refine_new_scrap,refine_old_scrap,import_ore,import_refined,export_ore,export_refined,consumption_refined,consumption_scrap,total_consumption,total_production,copper_for_cars
2017-01-01,1260,1040,40,146,14.0,813,237,94,1800,1860,3660,1226,196.16
2018-01-01,1220,1070,41,149,32.0,778,253,190,1820,1830,3650,1260,201.6
2019-01-01,1260,985,44,150,27.0,663,353,125,1830,1810,3640,1179,188.64000000000001
2020-01-01,1200,874,43,150,2.0,676,383,41,1710,1650,3360,1067,170.72
2021-01-01,1200,950,50,160,13.0,920,360,50,1800,2000,3800,1160,185.6
2012-01-01,1170,962,39,164,6.0,630,301,169,1760,1760,3520,1165,186.4
2013-01-01,1250,993,47,166,3.0,734,348,111,1830,1750,3580,1206,192.96
2014-01-01,1360,1050,46,173,0.5,620,410,127,1760,1780,3540,1269,203.04
2015-01-01,1380,1090,49,167,0.5,686,392,86,1810,1820,3630,1306,208.96
2016-01-01,1410,1160,50,170,0.5,670,340,100,1790,1800,3590,1380,220.8
2007-01-01,1170,1270,46,158,1.0,829,134,51,2140,2270,4410,1474,235.84
2008-01-01,1310,1220,54,156,1.0,724,301,37,2020,1990,4010,1430,228.8
2009-01-01,1180,1110,46,138,0.5,664,151,81,1650,1580,3230,1294,207.04
2010-01-01,1110,1060,38,131,1.0,605,137,78,1760,1740,3500,1229,196.64000000000001
2011-01-01,1120,1000,40,130,1.0,660,220,35,1780,1750,3530,1170,187.20000000000002
2001-01-01,1340,1630,172,316,46.0,991,45,23,2620,2500,5120,2118,338.88
2002-01-01,1140,1440,70,208,72.0,927,23,26,2370,2610,4980,1718,274.88
2003-01-01,1120,1250,53,206,27.0,882,9,93,2290,2430,4720,1509,241.44
2004-01-01,1160,1260,55,186,23.0,807,24,118,2410,2550,4960,1501,240.16
2005-01-01,1150,1180,55,190,0.5,920,110,45,2270,2290,4560,1425,228.0
1996-01-01,1920,2010,345,428,72.0,543,195,169,2610,2830,5440,2783,445.28000000000003
1997-01-01,1940,2070,396,498,44.0,632,127,93,2790,2950,5740,2964,474.24
1998-01-01,1860,2140,349,466,217.0,4725,37,86,2890,3020,5910,2955,472.8
1999-01-01,1600,1890,230,381,143.0,4915,64,25,2990,3130,6120,2501,400.16
2000-01-01,1450,1610,210,360,1.0,4970,220,110,3000,3120,6120,2180,348.8
1991-01-01,1630,1580,418,518,61.0,289,253,263,2050,2090,4140,2516,402.56
1992-01-01,1760,1710,433,554,102.0,289,266,177,2180,2300,4480,2697,431.52
1993-01-01,1800,1790,460,543,37.0,343,227,217,2360,2510,4870,2793,446.88
1994-01-01,1810,1830,392,500,82.0,470,261,157,2680,2680,5360,2722,435.52
1995-01-01,1890,1910,370,490,150.0,420,250,240,2590,2570,5160,2770,443.2
