,0
0,https://www.ny1.com/nyc/all-boroughs/news/2022/05/02/biden-admin-investing-3-billion-in-electric-car-batteries
1,https://www.realclearenergy.org/articles/2022/03/09/joe_bidens_electric_car_plans_support_the_worlds_worst_humanitarian_abuses_820821.html
2,https://www.whitehouse.gov/briefing-room/statements-releases/2022/09/14/fact-sheet-president-bidens-economic-plan-drives-americas-electric-vehicle-manufacturing-boom/
3,https://www.nytimes.com/2022/09/14/us/politics/detroit-biden-charging-stations.html
4,https://www.energy.gov/articles/president-biden-doe-and-dot-announce-5-billion-over-five-years-national-ev-charging
5,https://www.bloomberg.com/news/features/2022-07-29/biden-has-a-5-billion-plan-to-eliminate-america-s-ev-charging-deserts
6,https://www.eenews.net/articles/white-house-rolls-out-7-5b-electric-vehicle-charging-plan/
7,https://www.nbcnews.com/politics/white-house/biden-administration-releasing-strategy-building-u-s-electric-vehicle-charging-n1285813
8,https://www.utilitydive.com/news/biden-states-ev-charging-network-ford-gm-novi/631907/
9,https://www.cnbc.com/2022/09/14/watch-live-biden-touts-electric-vehicles-at-the-detroit-auto-show.html
