ds,y,yhat1,residual1,trend,season_yearly,baseline
1991-01-01,2516,2562.945068359375,46.945068359375,473.7891845703125,2089.15576171875,1430.0
1992-01-01,2697,2648.356689453125,-48.643310546875,569.5282592773438,2078.828369140625,1430.0
1993-01-01,2793,2769.0068359375,-23.9931640625,661.6982421875,2107.30859375,1430.0
1994-01-01,2722,2754.615234375,32.615234375,655.964599609375,2098.65087890625,1430.0
1995-01-01,2770,2748.561279296875,-21.438720703125,659.4053344726562,2089.15576171875,1430.0
1996-01-01,2783,2858.5615234375,75.5615234375,779.7332153320312,2078.828369140625,1430.0
1997-01-01,2964,2973.47021484375,9.47021484375,866.16162109375,2107.30859375,1430.0
1998-01-01,2955,2775.47265625,-179.52734375,676.82177734375,2098.65087890625,1430.0
1999-01-01,2501,2563.933837890625,62.933837890625,474.77801513671875,2089.15576171875,1430.0
2000-01-01,2180,2276.98779296875,96.98779296875,198.15936279296875,2078.828369140625,1430.0
2001-01-01,2118,2030.599853515625,-87.400146484375,-76.7086181640625,2107.30859375,1430.0
2002-01-01,1718,1759.007080078125,41.007080078125,-339.6436767578125,2098.65087890625,1430.0
2003-01-01,1509,1528.7625732421875,19.7625732421875,-560.393310546875,2089.15576171875,1430.0
2004-01-01,1501,1448.7181396484375,-52.2818603515625,-630.1103515625,2078.828369140625,1430.0
2005-01-01,1425,1433.2230224609375,8.2230224609375,-674.08544921875,2107.30859375,1430.0
2006-01-01,1396,1456.11376953125,60.11376953125,-642.5369873046875,2098.65087890625,1430.0
2007-01-01,1474,1452.064208984375,-21.935791015625,-637.0916748046875,2089.15576171875,1430.0
2008-01-01,1430,1383.6171875,-46.3828125,-695.211181640625,2078.828369140625,1430.0
2009-01-01,1294,1336.79296875,42.79296875,-770.5155029296875,2107.30859375,1430.0
2010-01-01,1229,1218.2447509765625,-10.7552490234375,-880.406005859375,2098.65087890625,1430.0
2011-01-01,1170,1151.508544921875,-18.491455078125,-937.647216796875,2089.15576171875,1430.0
2012-01-01,1165,1175.9771728515625,10.9771728515625,-902.851318359375,2078.828369140625,1430.0
2013-01-01,1206,1239.3485107421875,33.3485107421875,-867.9599609375,2107.30859375,1430.0
2014-01-01,1269,1265.48681640625,-3.51318359375,-833.1639404296875,2098.65087890625,1430.0
2015-01-01,1306,1290.787841796875,-15.212158203125,-798.367919921875,2089.15576171875,1430.0
2016-01-01,1380,1315.2564697265625,-64.7435302734375,-763.572021484375,2078.828369140625,1430.0
2017-01-01,1226,1378.627685546875,152.627685546875,-728.6807861328125,2107.30859375,1430.0
2018-01-01,1260,1404.7659912109375,144.7659912109375,-693.884765625,2098.65087890625,1430.0
2019-01-01,1179,1430.0670166015625,251.0670166015625,-659.0888671875,2089.15576171875,1430.0
2020-01-01,1067,1454.53564453125,387.53564453125,-624.2928466796875,2078.828369140625,1430.0
2021-01-01,1160,1517.906982421875,357.906982421875,-589.4014892578125,2107.30859375,1430.0
